,x,y,Weed_Percentage%
0,0.0,16000.0,0.003155517578125
1,1920.0,1920.0,0.007603759765625
2,640.0,10240.0,0.0005615234375
3,1280.0,10880.0,0.000225830078125
4,1920.0,12800.0,0.0004541015625
5,640.0,8960.0,0.001383056640625
6,1920.0,15360.0,0.00228759765625
7,1280.0,5120.0,0.0010302734375
8,1280.0,7680.0,0.001654052734375
9,1920.0,4480.0,0.0004150390625
10,0.0,10880.0,0.000419921875
11,640.0,3200.0,0.001998291015625
12,1280.0,16000.0,0.003179931640625
13,640.0,640.0,0.002322998046875
14,1920.0,9600.0,0.00059814453125
15,1920.0,5760.0,0.000352783203125
16,1280.0,6400.0,0.001580810546875
17,1920.0,14080.0,0.0019970703125
18,1920.0,16640.0,0.0012744140625
19,1920.0,8320.0,0.0014453125
20,1280.0,7040.0,0.00196044921875
21,0.0,8960.0,0.00176513671875
22,1920.0,14720.0,0.001910400390625
23,0.0,3200.0,0.00234375
24,1920.0,3840.0,0.00119140625
25,0.0,1920.0,0.00234130859375
26,0.0,0.0,0.005628662109375
27,640.0,8320.0,0.001795654296875
28,1280.0,13440.0,0.0008544921875
29,0.0,9600.0,0.00076416015625
30,0.0,5760.0,0.000968017578125
31,640.0,3840.0,0.003050537109375
32,0.0,13440.0,0.002725830078125
33,640.0,14720.0,0.001553955078125
34,0.0,4480.0,0.001629638671875
35,640.0,1920.0,0.008509521484375
36,640.0,15360.0,0.00297607421875
37,1920.0,8960.0,0.00076171875
38,0.0,11520.0,0.000535888671875
39,0.0,8320.0,0.002017822265625
40,640.0,16640.0,0.00416259765625
41,640.0,14080.0,0.0042041015625
42,0.0,12160.0,0.000396728515625
43,640.0,5760.0,0.00142333984375
44,640.0,9600.0,0.00070068359375
45,0.0,3840.0,0.002867431640625
46,1280.0,12160.0,0.0002099609375
47,1280.0,1280.0,0.0023046875
48,1280.0,2560.0,0.00482421875
49,640.0,12800.0,0.000419921875
50,1280.0,11520.0,0.0006689453125
51,1920.0,3200.0,0.0008447265625
52,640.0,4480.0,0.0013427734375
53,1920.0,10240.0,0.000941162109375
54,640.0,13440.0,0.00056640625
55,1280.0,3840.0,0.000623779296875
56,0.0,2560.0,0.003125
57,0.0,14720.0,0.00314453125
58,0.0,1280.0,0.002611083984375
59,1280.0,14720.0,0.000948486328125
60,1920.0,7040.0,0.00166015625
61,1280.0,8320.0,0.00118896484375
62,1280.0,14080.0,0.00075927734375
63,1280.0,16640.0,0.006121826171875
64,1920.0,5120.0,0.00072509765625
65,1280.0,4480.0,0.000645751953125
66,1920.0,7680.0,0.00099365234375
67,1920.0,16000.0,0.005076904296875
68,1280.0,5760.0,0.00052734375
69,1280.0,9600.0,0.001041259765625
70,640.0,2560.0,0.00603759765625
71,1920.0,6400.0,0.00097412109375
72,0.0,12800.0,0.00549560546875
73,1280.0,15360.0,0.00489501953125
74,640.0,1280.0,0.002215576171875
75,640.0,11520.0,0.000482177734375
76,1280.0,12800.0,0.000413818359375
77,0.0,15360.0,0.0031787109375
78,1920.0,10880.0,0.00046142578125
79,640.0,12160.0,0.0002734375
80,1280.0,1920.0,0.002685546875
81,0.0,14080.0,0.004302978515625
82,0.0,16640.0,0.000892333984375
83,640.0,0.0,0.00223388671875
84,640.0,10880.0,0.000233154296875
85,1280.0,10240.0,0.000908203125
86,1280.0,640.0,0.002545166015625
87,1920.0,1280.0,0.002593994140625
88,1920.0,11520.0,0.000423583984375
89,640.0,6400.0,0.000919189453125
90,1920.0,2560.0,0.001884765625
91,640.0,5120.0,0.00114501953125
92,1280.0,3200.0,0.00220703125
93,1920.0,12160.0,0.000126953125
94,1920.0,0.0,0.004097900390625
95,640.0,7680.0,0.000865478515625
96,640.0,16000.0,0.0027978515625
97,1280.0,8960.0,0.000589599609375
98,0.0,7040.0,0.002568359375
99,0.0,10240.0,0.000396728515625
100,1280.0,0.0,0.00197021484375
101,0.0,6400.0,0.001168212890625
102,0.0,5120.0,0.001038818359375
103,1920.0,640.0,0.00159912109375
104,0.0,7680.0,0.001278076171875
105,1920.0,13440.0,0.00302490234375
106,640.0,7040.0,0.001590576171875
107,0.0,640.0,0.0017529296875
